CanIdentifier,Type,Brand,Brew,Brewery,City,State,Caption,Size,Faces,Type,Side,Brand,Brew,Brewery,City,State,Caption,AltView,Price,Size,Faces,Tax,MandatoriesChanged,CanAdded
1029370,F,ALPEN GLOW,BEER,San Francisco,San Francisco,CA,Enamel,12,1,F,F,ALPEN GLOW,BEER,San Francisco,San Francisco,CA,Enamel,,600,12,1,OT,,
1029380,F,ALPEN GLEN,BEER,Burgermeister,San Francisco,CA,1970,12,2,F,F,ALPEN GLEN,BEER,Burgermeister,San Francisco,CA,1970,,20,12,2,,,
1029390,F,ALPEN GLEN,BEER,Burgermeister,San Francisco,CA,1970,12,2,F,F,ALPEN GLEN,BEER,Burgermeister,San Francisco,CA,1970,,10,12,2,,,
1029400,F,ALPINE,BEER,Maier,Los Angeles,CA,,12,2,F,F,ALPINE,BEER,Maier,Los Angeles,CA,,,75,12,2,,,
1030010,F,ALPINE,BEER,Maier,Los Angeles,CA,,12,2,F,F,ALPINE,BEER,Maier,Los Angeles,CA,,,60,12,2,,,
1030020,F,ALPINE BRAND PREMIUM,BEER,Peter Fox,Chicago,IL,,12,1,F,F,ALPINE BRAND PREMIUM,BEER,Peter Fox,Chicago,IL,,,75,12,1,,,
1030030,F,ALPINE BRAND PREMIUM,BEER,Peter Fox,Chicago,IL,,12,1,F,F,ALPINE BRAND PREMIUM,BEER,Peter Fox,Chicago,IL,,,65,12,1,,,
1030040,F,ALPINE PILSNER,BEER,Fox Deluxe,Grand Rapids,MI,,12,1,F,F,ALPINE PILSNER,BEER,Fox Deluxe,Grand Rapids,MI,,,175,12,1,,,
1030050,F,ALPINE LAGER,BEER,Alpine,Potosi,WI,,12,2,F,F,ALPINE LAGER,BEER,Alpine,Potosi,WI,,,10,12,2,,,
1030060,F,ALPS BRAU,BEER,Maier,Los Angeles,CA,,12,2,F,F,ALPS BRAU,BEER,Maier,Los Angeles,CA,,,65,12,2,,,
1030070,F,ALPS BRAU,BEER,Grace Bros.,Santa Rosa,CA,Gold trim,12,2,F,F,ALPS BRAU,BEER,Grace Bros.,Santa Rosa,CA,Gold trim,,75,12,2,,,
